EventID, SimTime, SysTime, EventType, Node, Object
1,57,1691513457559,Event_NewTransactionArrival,3,1
2,118,1691513457590,Event_NewTransactionArrival,3,2
3,133,1691513457590,Event_NewTransactionArrival,3,3
4,133,1691513457591,Event_ContainerValidation,3,1
5,139,1691513457591,Event_NewTransactionArrival,3,4
6,211,1691513457591,Event_NewTransactionArrival,2,5
7,220,1691513457591,Event_NewTransactionArrival,2,6
8,287,1691513457591,Event_NewTransactionArrival,3,7
9,633,1691513457591,Event_NewTransactionArrival,2,8
10,633,1691513457591,Event_ContainerValidation,2,3
11,726,1691513457591,Event_NewTransactionArrival,3,9
12,726,1691513457592,Event_ContainerValidation,3,5
13,820,1691513457592,Event_NewTransactionArrival,2,10
14,914,1691513457592,Event_TransactionPropagation,1,1
15,920,1691513457592,Event_TransactionPropagation,1,2
16,966,1691513457592,Event_NewTransactionArrival,2,11
17,966,1691513457592,Event_ContainerValidation,2,7
18,983,1691513457592,Event_TransactionPropagation,1,4
19,983,1691513457592,Event_TransactionPropagation,1,5
20,983,1691513457592,Event_ContainerValidation,1,9
21,994,1691513457592,Event_NewTransactionArrival,1,12
22,1027,1691513457592,Event_TransactionPropagation,3,5
23,1030,1691513457592,Event_TransactionPropagation,1,3
24,1039,1691513457592,Event_TransactionPropagation,2,2
25,1041,1691513457592,Event_TransactionPropagation,2,1
26,1104,1691513457592,Event_TransactionPropagation,1,6
27,1104,1691513457593,Event_ContainerValidation,1,11
28,1108,1691513457593,Event_TransactionPropagation,2,4
29,1108,1691513457593,Event_ContainerValidation,2,13
30,1154,1691513457593,Event_TransactionPropagation,3,6
31,1155,1691513457593,Event_NewTransactionArrival,3,13
32,1155,1691513457593,Event_ContainerValidation,3,15
33,1164,1691513457593,Event_TransactionPropagation,2,3
34,1270,1691513457593,Event_NewTransactionArrival,3,14
35,1395,1691513457593,Event_NewTransactionArrival,1,15
36,1410,1691513457593,Event_TransactionPropagation,1,7
37,1410,1691513457594,Event_ContainerValidation,1,17
38,1567,1691513457594,Event_TransactionPropagation,1,8
39,1571,1691513457594,Event_TransactionPropagation,3,12
40,1571,1691513457594,Event_ContainerValidation,3,19
41,1576,1691513457594,Event_TransactionPropagation,2,7
42,1620,1691513457594,Event_TransactionPropagation,3,8
43,1621,1691513457594,Event_TransactionPropagation,2,12
44,1621,1691513457594,Event_ContainerValidation,2,21
45,1678,1691513457594,Event_NewTransactionArrival,2,16
46,1697,1691513457594,Event_TransactionPropagation,1,9
47,1697,1691513457595,Event_ContainerValidation,1,23
48,1749,1691513457595,Event_NewTransactionArrival,3,17
49,1749,1691513457595,Event_ContainerValidation,3,25
50,1780,1691513457595,Event_TransactionPropagation,1,11
51,1781,1691513457595,Event_TransactionPropagation,1,13
52,1781,1691513457595,Event_ContainerValidation,1,27
53,1826,1691513457595,Event_TransactionPropagation,3,11
54,1841,1691513457595,Event_TransactionPropagation,2,9
55,1841,1691513457595,Event_ContainerValidation,2,29
56,1874,1691513457595,Event_TransactionPropagation,2,13
57,1918,1691513457595,Event_TransactionPropagation,1,10
58,1980,1691513457596,Event_TransactionPropagation,3,10
59,1980,1691513457596,Event_ContainerValidation,3,31
60,2136,1691513457596,Event_NewTransactionArrival,2,18
61,2136,1691513457596,Event_ContainerValidation,2,33
62,2207,1691513457596,Event_NewTransactionArrival,3,19
63,2239,1691513457596,Event_TransactionPropagation,1,14
64,2239,1691513457596,Event_ContainerValidation,1,35
65,2242,1691513457596,Event_NewTransactionArrival,3,20
66,2383,1691513457596,Event_TransactionPropagation,2,14
67,2513,1691513457596,Event_TransactionPropagation,3,15
68,2513,1691513457597,Event_ContainerValidation,3,37
69,2517,1691513457597,Event_NewTransactionArrival,2,21
70,2517,1691513457597,Event_ContainerValidation,2,39
71,2570,1691513457597,Event_TransactionPropagation,1,17
72,2574,1691513457597,Event_TransactionPropagation,1,16
73,2574,1691513457597,Event_ContainerValidation,1,41
74,2611,1691513457597,Event_TransactionPropagation,2,15
75,2625,1691513457597,Event_TransactionPropagation,3,16
76,2688,1691513457597,Event_NewTransactionArrival,1,22
77,2693,1691513457597,Event_TransactionPropagation,2,17
78,2693,1691513457597,Event_ContainerValidation,2,43
79,2785,1691513457597,Event_NewTransactionArrival,2,23
80,2816,1691513457598,Event_TransactionPropagation,1,19
