EventID, SimTime, SysTime, EventType, Node, Object
1,57,1689185899843,Event_NewTransactionArrival,3,1
2,118,1689185899875,Event_NewTransactionArrival,3,2
3,133,1689185899875,Event_NewTransactionArrival,3,3
4,139,1689185899875,Event_NewTransactionArrival,3,4
5,211,1689185899875,Event_NewTransactionArrival,2,5
6,220,1689185899875,Event_NewTransactionArrival,2,6
7,287,1689185899876,Event_NewTransactionArrival,3,7
8,633,1689185899876,Event_NewTransactionArrival,2,8
9,726,1689185899876,Event_NewTransactionArrival,3,9
10,820,1689185899876,Event_NewTransactionArrival,2,10
11,914,1689185899876,Event_TransactionPropagation,1,1
12,920,1689185899876,Event_TransactionPropagation,1,2
13,966,1689185899876,Event_NewTransactionArrival,2,11
14,983,1689185899876,Event_TransactionPropagation,1,4
15,983,1689185899876,Event_TransactionPropagation,1,5
16,994,1689185899876,Event_NewTransactionArrival,1,12
17,1027,1689185899876,Event_TransactionPropagation,3,5
18,1030,1689185899876,Event_TransactionPropagation,1,3
19,1039,1689185899876,Event_TransactionPropagation,2,2
20,1041,1689185899876,Event_TransactionPropagation,2,1
21,1104,1689185899877,Event_TransactionPropagation,1,6
22,1108,1689185899877,Event_TransactionPropagation,2,4
23,1154,1689185899877,Event_TransactionPropagation,3,6
24,1155,1689185899877,Event_NewTransactionArrival,3,13
25,1164,1689185899877,Event_TransactionPropagation,2,3
26,1270,1689185899877,Event_NewTransactionArrival,3,14
27,1395,1689185899877,Event_NewTransactionArrival,1,15
28,1410,1689185899877,Event_TransactionPropagation,1,7
29,1567,1689185899877,Event_TransactionPropagation,1,8
30,1571,1689185899877,Event_TransactionPropagation,3,12
31,1576,1689185899877,Event_TransactionPropagation,2,7
32,1620,1689185899877,Event_TransactionPropagation,3,8
33,1621,1689185899877,Event_TransactionPropagation,2,12
34,1678,1689185899877,Event_NewTransactionArrival,2,16
35,1697,1689185899877,Event_TransactionPropagation,1,9
36,1749,1689185899877,Event_NewTransactionArrival,3,17
37,1780,1689185899877,Event_TransactionPropagation,1,11
38,1781,1689185899878,Event_TransactionPropagation,1,13
39,1826,1689185899878,Event_TransactionPropagation,3,11
40,1841,1689185899878,Event_TransactionPropagation,2,9
41,1874,1689185899878,Event_TransactionPropagation,2,13
42,1918,1689185899878,Event_TransactionPropagation,1,10
43,1980,1689185899878,Event_TransactionPropagation,3,10
44,2136,1689185899878,Event_NewTransactionArrival,2,18
45,2207,1689185899878,Event_NewTransactionArrival,3,19
46,2239,1689185899878,Event_TransactionPropagation,1,14
47,2242,1689185899878,Event_NewTransactionArrival,3,20
48,2383,1689185899878,Event_TransactionPropagation,2,14
49,2513,1689185899878,Event_TransactionPropagation,3,15
50,2517,1689185899878,Event_NewTransactionArrival,2,21
51,2570,1689185899878,Event_TransactionPropagation,1,17
52,2574,1689185899878,Event_TransactionPropagation,1,16
53,2611,1689185899878,Event_TransactionPropagation,2,15
54,2625,1689185899878,Event_TransactionPropagation,3,16
55,2688,1689185899878,Event_NewTransactionArrival,1,22
56,2693,1689185899879,Event_TransactionPropagation,2,17
57,2785,1689185899879,Event_NewTransactionArrival,2,23
58,2816,1689185899879,Event_TransactionPropagation,1,19
59,2907,1689185899879,Event_TransactionPropagation,2,19
60,2965,1689185899879,Event_TransactionPropagation,1,20
61,3073,1689185899879,Event_TransactionPropagation,2,20
62,3187,1689185899879,Event_TransactionPropagation,1,21
63,3225,1689185899879,Event_TransactionPropagation,3,21
64,3233,1689185899879,Event_NewTransactionArrival,1,24
65,3290,1689185899879,Event_NewTransactionArrival,1,25
66,3293,1689185899879,Event_NewTransactionArrival,1,26
